sku,nombre,nombre_busqueda,categoria,precio,costo,stock,tiene_barcode,revisar,destacado,activo,posicion,unidad,origen,nombre_original
BV-MAIN-PAN-FRESCO,Pan fresco,pan fresco,Panadería y Pastelería,0,0,0,FALSE,"Falta precio/formato: definir si es unidad, bolsa, kilo o marraqueta. | FALTA PRECIO: editar desde backend antes de vender.",TRUE,TRUE,10,unidad,Principal manual,
7802900120016,Mantequilla Soprole Pan 125 g,mantequilla soprole pan 125 g,Lácteos y Embutidos,1750,1250,0,TRUE,Confirmar tamaño/formato antes de publicar definitivo.,TRUE,TRUE,20,unidad,Excel definitivo,MANTEQUILLA PAN SO
7802900121013,Mantequilla Soprole Pan 250 g,mantequilla soprole pan 250 g,Lácteos y Embutidos,3486,2490,0,TRUE,Confirmar tamaño/formato antes de publicar definitivo.,TRUE,TRUE,21,unidad,Excel definitivo,MANTEQUILLA PAN C
BV-MAIN-QUESO-NEGRETE,Queso Negrete,queso negrete,Lácteos y Embutidos,0,0,0,FALSE,Falta precio y formato. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,30,unidad,Principal manual,
BV-MAIN-QUESO-QUILLAYES-LAMINADO,Queso Quillayes laminado,queso quillayes laminado,Lácteos y Embutidos,0,0,0,FALSE,Falta precio y formato. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,31,unidad,Principal manual,
780197008402,Vienesas tradicionales pack chico,vienesas tradicionales pack chico,Lácteos y Embutidos,1288,920,0,TRUE,Nombre repetido o formato abreviado: revisar tamaño/sabor/marca. | Confirmar marca y cantidad del pack.,TRUE,TRUE,50,unidad,Excel definitivo,SALCHICHA TRADICIO
780196500974,Vienesas tradicionales pack familiar,vienesas tradicionales pack familiar,Lácteos y Embutidos,4886,3490,0,TRUE,Nombre repetido o formato abreviado: revisar tamaño/sabor/marca. | Confirmar marca y cantidad del pack.,TRUE,TRUE,51,unidad,Excel definitivo,SALCHICHA TRADICIO
BV-MAIN-PALTA,Palta,palta,Frutas y Verduras,0,0,0,FALSE,Falta precio y unidad de venta: unidad/kilo. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,60,unidad,Principal manual,
BV-HUEVO-UNIDAD,Huevo unidad,huevo unidad,Lácteos y Embutidos,300,0,0,FALSE,,TRUE,TRUE,70,unidad,Principal manual,
BV-HUEVO-MAPLE,Maple de huevos,maple de huevos,Lácteos y Embutidos,8500,0,0,FALSE,,TRUE,TRUE,71,maple,Principal manual,
BV-MAIN-HARINA,Harina,harina,Abarrotes,0,0,0,FALSE,Falta precio y formato/peso. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,80,unidad,Principal manual,
BV-MAIN-HARINA-TOSTADA,Harina tostada,harina tostada,Abarrotes,0,0,0,FALSE,Falta precio y formato/peso. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,81,unidad,Principal manual,
BV-MAIN-CONFORT,Confort,confort,Higiene Personal,0,0,0,FALSE,Falta precio y formato: rollos/pack. | FALTA PRECIO: editar desde backend antes de vender.,TRUE,TRUE,90,unidad,Principal manual,
BV-MAIN-CERVEZA-LATA-BOTELLA,Cerveza lata/botella,cerveza lata/botella,Bebidas y Licores,0,0,0,FALSE,"Falta precio, marca y formato. | FALTA PRECIO: editar desde backend antes de vender.",TRUE,TRUE,100,unidad,Principal manual,
7807975003967,Arroz grado 1 grano largo,arroz grado 1 grano largo,Abarrotes,2226,1590,0,TRUE,,TRUE,TRUE,120,unidad,Excel definitivo,ARROZ G1 GRANO LAR
